Location;Specializaion;Position_level;Contract_type;Work_schedule;Work_modes
Kraków, Lesser Poland;Specializations:Frontend, UX/UI;manager / supervisor;contract of employment;full-time;hybrid work
Warszawa, Masovian;Specializations:IT admin, System analytics;senior specialist (Senior);contract of employment;full-time;hybrid work
Kraków, Lesser Poland;Specializations:Backend, DevOps;senior specialist (Senior);contract of employment;full-time;hybrid work
Kraków, Lesser Poland;Specializations:QA/Testing;specialist (Mid / Regular), senior specialist (Senior);contract of employment;full-time;home office work
Kraków, Lesser Poland;Specializations:Backend;senior specialist (Senior);contract of employment;full-time;home office work
Kielce, œwiêtokrzyskie;Specjalizacje:Business analytics;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
Gdañsk, Pomeranian;Specializations:DevOps;specialist (Mid / Regular), senior specialist (Senior);contract of employment;full-time;hybrid work
Katowice, œl¹skie;Specjalizacje:QA/Testing;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca zdalna
Sosnowiec, œl¹skie;Specjalizacje:SAP&ERP;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna
£ódŸ, ³ódzkie;Specjalizacje:Security;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Frontend, QA/Testing;specjalista (Mid / Regular), starszy specjalista (Senior);umowa zlecenie, kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, Masovian;;specialist (Mid / Regular);contract of employment;full-time, part time;full office work, hybrid work
Warszawa, Masovian;Specializations:Business analytics;specialist (Mid / Regular);contract of employment;full-time, part time;full office work, hybrid work
Gdañsk, Pomeranian;Specializations:Architecture;specialist (Mid / Regular);B2B contract;full-time;hybrid work
Wroc³aw, dolnoœl¹skie;Specjalizacje:QA/Testing;m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca stacjonarna, praca hybrydowa
Kraków, Lesser Poland;Specializations:Architecture;specialist (Mid / Regular);contract of employment;full-time;home office work
Wroc³aw, Lower Silesia;Specializations:System analytics;specialist (Mid / Regular);contract of employment;full-time;home office work
Warszawa, mazowieckie;;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, Masovian;Specializations:IT admin;team manager;contract of employment;full-time;hybrid work
Warszawa, Masovian;Specializations:Backend;manager / supervisor, team manager;B2B contract;full-time;home office work
Kraków, Lesser Poland;Specializations:Full-stack;expert;contract of employment, B2B contract;full-time;hybrid work
Kraków, Lesser Poland;Specializations:SAP&ERP;specialist (Mid / Regular);B2B contract;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Helpdesk;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
Kraków, Lesser Poland;Specializations:Big Data / Data Science, System analytics;specialist (Mid / Regular);contract of employment;full-time;home office work
Kraków, Lesser Poland;Specializations:Big Data / Data Science;specialist (Mid / Regular);B2B contract;;hybrid work
Kraków, Lesser Poland;Specializations:Project Management;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Buk, Greater Poland;Specializations:Full-stack;manager / supervisor;contract of employment;full-time;home office work, hybrid work
Kraków, ma³opolskie;Specjalizacje:Project Management, SAP&ERP;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Backend;starszy specjalista (Senior), ekspert;umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Project Management;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, Masovian;Specializations:Security, System analytics;senior specialist (Senior), expert;B2B contract;full-time;home office work
Kraków, Lesser Poland;Specializations:Backend;senior specialist (Senior);B2B contract;full-time;home office work, hybrid work
Warszawa, Masovian;Specializations:QA/Testing;specialist (Mid / Regular);B2B contract;full-time;hybrid work
Warszawa, Masovian;Specializations:IT admin, Security, System analytics;specialist (Mid / Regular);B2B contract;full-time;home office work
Poznañ, wielkopolskie;;specjalista (Mid / Regular), m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca stacjonarna, praca hybrydowa
Warszawa, Masovian;Specializations:Backend;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Wysogotowo (pow. poznañski), wielkopolskie;Specjalizacje:Helpdesk;specjalista (Mid / Regular), m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna, praca hybrydowa
Lublin, lubelskie;Specjalizacje:Helpdesk, IT admin;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Katowice, œl¹skie;Specjalizacje:Backend;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna
Kraków, Lesser Poland;Specializations:DevOps, IT admin;specialist (Mid / Regular), senior specialist (Senior);contract of employment, B2B contract;full-time;full office work, home office work, hybrid work
Poznañ, Greater Poland;Specializations:Project Management, SAP&ERP;specialist (Mid / Regular), junior specialist (Junior);contract of mandate, B2B contract;full-time;hybrid work
Warszawa, Masovian;;specialist (Mid / Regular);B2B contract;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Backend;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Katowice, Silesian;Specializations:DevOps;specialist (Mid / Regular), senior specialist (Senior);contract of employment, B2B contract;full-time;home office work, hybrid work
Warszawa, mazowieckie;Specjalizacje:Big Data / Data Science, Product Management;kierownik / koordynator, mened¿er;umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, Masovian;Specializations:QA/Testing;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, Masovian;;specialist (Mid / Regular);contract of employment;full-time;hybrid work
£om¿a, podlaskie;;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna, praca hybrydowa
Katowice, œl¹skie;Specjalizacje:Helpdesk;specjalista (Mid / Regular), m³odszy specjalista (Junior);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna
Lublin, Lublin;Specializations:QA/Testing;senior specialist (Senior);contract of employment, B2B contract;full-time;home office work, hybrid work
Polkowice, Lower Silesia;Specializations:Security;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, Masovian;;trainee, assistant;contract of employment;full-time;hybrid work
Warszawa, Masovian;Specializations:AI/ML;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:SAP&ERP;specjalista (Mid / Regular), m³odszy specjalista (Junior);umowa zlecenie, kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Bydgoszcz, kujawsko-pomorskie;Specjalizacje:Big Data / Data Science;specjalista (Mid / Regular), m³odszy specjalista (Junior);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna, praca zdalna, praca hybrydowa
Warszawa, mazowieckie;;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
Gdynia, pomorskie;Specjalizacje:Backend;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Backend;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, Masovian;Specializations:Product Management;specialist (Mid / Regular);contract of employment, agency agreement;full-time;full office work
Kraków, ma³opolskie;;starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, Masovian;Specializations:Backend, DevOps;specialist (Mid / Regular), senior specialist (Senior);contract of employment;full-time;hybrid work
Warszawa, Masovian;Specializations:Backend;manager / supervisor;contract of employment;full-time;hybrid work
Tychy, œl¹skie;Specjalizacje:IT admin;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Polkowice, dolnoœl¹skie;Specjalizacje:Helpdesk;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Wroc³aw, Lower Silesia;Specializations:Embedded;specialist (Mid / Regular), senior specialist (Senior);contract of employment, B2B contract;full-time;full office work, hybrid work
Katowice, œl¹skie;Specjalizacje:Product Management, Security;kierownik / koordynator;umowa o pracê;pe³ny etat;praca stacjonarna, praca hybrydowa
Kraków, Lesser Poland;Specializations:Architecture;senior specialist (Senior);B2B contract;full-time;home office work
Kraków, Lesser Poland;;senior specialist (Senior);B2B contract;full-time;home office work
Warszawa, Masovian;Specializations:Architecture;senior specialist (Senior);contract of employment, B2B contract;full-time;full office work
Warszawa, Masovian;Specializations:Backend;specialist (Mid / Regular);B2B contract;full-time;home office work
Warszawa, mazowieckie;Specjalizacje:IT admin;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:IT admin;ekspert;umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Backend;starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:IT admin;ekspert;umowa o pracê;pe³ny etat;praca hybrydowa
Wroc³aw, Lower Silesia;Specializations:Full-stack;specialist (Mid / Regular);B2B contract;full-time;home office work
D¹brówka (pow. poznañski), wielkopolskie;Specjalizacje:Helpdesk;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Gdañsk, Pomeranian;Specializations:IT admin;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Opole, opolskie;;praktykant / sta¿ysta;umowa o pracê, umowa o sta¿ / praktyki;pe³ny etat;praca stacjonarna
Kraków, Lesser Poland;Specializations:Business analytics, Product Management;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Gdañsk, Pomeranian;Specializations:Agile, Frontend, QA/Testing;specialist (Mid / Regular), junior specialist (Junior);contract of employment;full-time;full office work, hybrid work
Kraków, Lesser Poland;Specializations:Mobile;senior specialist (Senior);B2B contract;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Helpdesk, IT admin;specjalista (Mid / Regular), m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca stacjonarna, praca hybrydowa
Kraków, Lesser Poland;Specializations:Business analytics;specialist (Mid / Regular);contract of employment;full-time;hybrid work
£ódŸ, ³ódzkie;Specjalizacje:Backend;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, mazowieckie;Specjalizacje:DevOps;specjalista (Mid / Regular), starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca hybrydowa
Wroc³aw, dolnoœl¹skie;Specjalizacje:UX/UI;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, Masovian;Specializations:Backend;senior specialist (Senior);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Backend, Big Data / Data Science, Project Management;kierownik / koordynator, mened¿er;umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Full-stack;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Big Data / Data Science, Business analytics;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca hybrydowa
Katowice, œl¹skie;Specjalizacje:QA/Testing;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca zdalna
abroad;Specializations:Agile, Project Management;specialist (Mid / Regular), senior specialist (Senior);B2B contract;full-time;full office work
Warszawa, mazowieckie;Specjalizacje:Business analytics;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Frontend;specjalista (Mid / Regular);umowa zlecenie, kontrakt B2B;pe³ny etat;praca hybrydowa
Pi³a, wielkopolskie;;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna, praca hybrydowa
Poznañ, Greater Poland;Specializations:Backend, Full-stack;senior specialist (Senior);contract of employment, B2B contract;full-time;full office work, hybrid work
Warszawa, mazowieckie;Specjalizacje:QA/Testing;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, Masovian;;senior specialist (Senior);contract of employment;full-time;home office work, hybrid work
Gdañsk, pomorskie;Specjalizacje:Helpdesk;specjalista (Mid / Regular);umowa o pracê, umowa zlecenie;pe³ny etat;praca stacjonarna
Poznañ, wielkopolskie;Specjalizacje:Helpdesk;m³odszy specjalista (Junior);umowa o pracê;pe³ny etat, czêœæ etatu;praca stacjonarna
Pi³a, wielkopolskie;Specjalizacje:Helpdesk;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;;praktykant / sta¿ysta;umowa zlecenie;dodatkowa / tymczasowa;praca stacjonarna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Helpdesk, IT admin;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca hybrydowa
Kraków, Lesser Poland;;team manager;contract of employment;full-time;hybrid work
Warszawa, Masovian;Specializations:Architecture;specialist (Mid / Regular);contract of employment, B2B contract;full-time;full office work, hybrid work
abroad;Specializations:Business analytics;specialist (Mid / Regular), junior specialist (Junior);contract of employment, B2B contract;full-time;home office work
Warszawa, Masovian;Specializations:Helpdesk;junior specialist (Junior);contract of employment;full-time;full office work
Kraków, Lesser Poland;Specializations:Embedded;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, Masovian;Specializations:Embedded;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, Masovian;Specializations:Backend;senior specialist (Senior);contract of employment;full-time;hybrid work
Kraków, ma³opolskie;Specjalizacje:AI/ML, Architecture;starszy specjalista (Senior), ekspert;umowa o pracê;pe³ny etat;praca zdalna
Warszawa, mazowieckie;;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Business analytics;specjalista (Mid / Regular), starszy specjalista (Senior);umowa zlecenie, kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Business analytics, System analytics;ekspert;umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, Masovian;;manager / supervisor;contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Big Data / Data Science, Business analytics;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Agile, Business analytics, Project Management, SAP&ERP;m³odszy specjalista (Junior);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;Specjalizacje:Backend;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Warszawa, mazowieckie;;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, mazowieckie;;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;;specjalista (Mid / Regular), m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca stacjonarna
Gdynia, pomorskie;;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Poznañ, wielkopolskie;;m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca hybrydowa
